,features_importance
volume,-0.0006206175547182962
turn,0.0
pre_close,0.0
open,0.0
low,0.0
high,0.0
avg_price,0.0
amount,0.0
alpha9t-9,0.0
alpha9t-8,0.0
alpha9t-7,0.0
alpha9t-6,0.0
alpha9t-5,0.0
alpha9t-4,0.0
alpha9t-3,0.0
alpha9t-20,0.0
alpha9t-2,0.0
alpha9t-19,0.0
alpha9t-18,0.0
alpha9t-17,0.0
alpha9t-16,0.0
alpha9t-15,0.0
alpha9t-14,0.0
alpha9t-13,0.0
alpha9t-12,0.0
alpha9t-11,0.0
alpha9t-10,0.0
alpha9t-1,0.0
alpha9t,0.0
alpha98t-9,0.0
alpha98t-8,0.0
alpha98t-7,0.0
alpha98t-6,0.0
alpha98t-5,0.0
alpha98t-4,0.0
alpha98t-3,0.0
alpha98t-20,0.0
alpha98t-2,0.005648131214473828
alpha98t-19,0.0
alpha98t-18,0.0
alpha98t-17,0.0
alpha98t-16,0.0
alpha98t-15,0.0
alpha98t-14,0.0
alpha98t-13,0.0
alpha98t-12,0.0
alpha98t-11,0.0
alpha98t-10,0.0
alpha98t-1,0.0
alpha98t,0.0
alpha97t-9,0.0
alpha97t-8,0.0
alpha97t-7,0.0
alpha97t-6,0.0
alpha97t-5,0.0
alpha97t-4,0.0
alpha97t-3,0.0
alpha97t-20,0.0
alpha97t-2,0.0
alpha97t-19,0.0
alpha97t-18,0.0
alpha97t-17,0.0
alpha97t-16,0.0
alpha97t-15,0.0
alpha97t-14,0.0
alpha97t-13,0.0
alpha97t-12,0.0
alpha97t-11,0.0
alpha97t-10,0.0
alpha97t-1,0.0
alpha97t,0.0
alpha96t-9,0.0
alpha96t-8,0.0
alpha96t-7,0.0
alpha96t-6,0.0
alpha96t-5,0.0
alpha96t-4,0.0
alpha96t-3,0.0
alpha96t-20,0.0
alpha96t-2,0.0
alpha96t-19,0.0
alpha96t-18,0.0
alpha96t-17,0.0
alpha96t-16,0.0
alpha96t-15,0.0
alpha96t-14,0.0
alpha96t-13,0.0
alpha96t-12,0.0
alpha96t-11,0.0
alpha96t-10,0.0
alpha96t-1,0.0
alpha96t,0.0
alpha95t-9,0.0
alpha95t-8,0.0
alpha95t-7,0.0
alpha95t-6,0.0
alpha95t-5,0.0
alpha95t-4,0.0
alpha95t-3,0.0
alpha95t-20,0.0
alpha95t-2,0.0
alpha95t-19,0.0
alpha95t-18,0.0
alpha95t-17,0.0
alpha95t-16,0.0
alpha95t-15,0.0
alpha95t-14,0.0
alpha95t-13,0.0
alpha95t-12,0.0
alpha95t-11,0.0
alpha95t-10,0.0
alpha95t-1,0.0
alpha95t,0.0
alpha94t-9,0.0
alpha94t-8,0.0
alpha94t-7,0.0
alpha94t-6,0.0
alpha94t-5,0.0
alpha94t-4,0.0
alpha94t-3,0.0
alpha94t-20,0.0
alpha94t-2,0.0
alpha94t-19,0.0
alpha94t-18,0.0
alpha94t-17,0.0
alpha94t-16,0.0
alpha94t-15,0.0
alpha94t-14,0.0
alpha94t-13,0.0
alpha94t-12,0.0
alpha94t-11,0.0
alpha94t-10,0.0
alpha94t-1,0.0
alpha94t,0.0
alpha93t-9,0.0
alpha93t-8,0.0
alpha93t-7,0.0
alpha93t-6,0.0
alpha93t-5,0.0
alpha93t-4,0.0
alpha93t-3,0.0
alpha93t-20,0.0
alpha93t-2,0.0
alpha93t-19,0.0
alpha93t-18,0.0
alpha93t-17,0.0
alpha93t-16,0.0
alpha93t-15,0.0
alpha93t-14,0.0
alpha93t-13,0.0
alpha93t-12,0.0
alpha93t-11,0.0
alpha93t-10,0.0
alpha93t-1,0.0
alpha93t,0.0
alpha89t-9,0.0
alpha89t-8,0.0
alpha89t-7,0.0
alpha89t-6,0.0
alpha89t-5,0.0
alpha89t-4,0.0
alpha89t-3,0.0
alpha89t-20,0.0
alpha89t-2,0.0
alpha89t-19,0.0
alpha89t-18,0.0
alpha89t-17,0.0
alpha89t-16,0.0
alpha89t-15,0.0
alpha89t-14,0.0
alpha89t-13,0.0
alpha89t-12,0.0
alpha89t-11,0.0
alpha89t-10,0.0
alpha89t-1,0.0
alpha89t,0.0
alpha87t-9,0.0
alpha87t-8,0.0
alpha87t-7,0.0
alpha87t-6,0.0
alpha87t-5,0.0
alpha87t-4,0.0
alpha87t-3,0.0
alpha87t-20,0.0
alpha87t-2,0.0
alpha87t-19,0.0
alpha87t-18,0.0
alpha87t-17,0.0
alpha87t-16,0.0
alpha87t-15,0.0
alpha87t-14,0.0
alpha87t-13,0.0
alpha87t-12,0.0
alpha87t-11,0.0
alpha87t-10,0.0
alpha87t-1,0.0
alpha87t,0.0
alpha86t-9,0.0
alpha86t-8,0.0
alpha86t-7,0.0
alpha86t-6,0.0
alpha86t-5,0.0
alpha86t-4,0.0
alpha86t-3,0.0
alpha86t-20,0.0
alpha86t-2,0.0
alpha86t-19,0.0
alpha86t-18,0.0
alpha86t-17,0.0
alpha86t-16,0.0
alpha86t-15,0.0
alpha86t-14,0.0
alpha86t-13,0.0
alpha86t-12,0.0
alpha86t-11,0.0
alpha86t-10,0.0
alpha86t-1,0.0
alpha86t,0.0
alpha85t-9,0.0
alpha85t-8,0.0
alpha85t-7,0.0
alpha85t-6,0.0
alpha85t-5,0.0
alpha85t-4,0.0
alpha85t-3,0.0
alpha85t-20,0.0
alpha85t-2,0.0
alpha85t-19,0.0
alpha85t-18,0.0
alpha85t-17,0.0
alpha85t-16,0.0
alpha85t-15,0.0
alpha85t-14,0.0
alpha85t-13,0.0
alpha85t-12,0.0
alpha85t-11,0.0
alpha85t-10,0.0
alpha85t-1,0.0
alpha85t,0.0
alpha84t-9,0.0
alpha84t-8,0.0
alpha84t-7,0.0
alpha84t-6,0.0
alpha84t-5,0.0
alpha84t-4,0.0
alpha84t-3,0.0
alpha84t-20,0.0
alpha84t-2,0.0
alpha84t-19,0.0
alpha84t-18,0.0
alpha84t-17,0.0
alpha84t-16,0.0
alpha84t-15,0.0
alpha84t-14,0.0
alpha84t-13,0.0
alpha84t-12,0.0
alpha84t-11,0.0
alpha84t-10,0.0
alpha84t-1,0.0
alpha84t,0.0
alpha83t-9,0.0
alpha83t-8,0.0
alpha83t-7,0.0
alpha83t-6,0.0
alpha83t-5,0.0
alpha83t-4,0.0
alpha83t-3,0.0
alpha83t-20,0.0
alpha83t-2,0.0
alpha83t-19,0.0
alpha83t-18,0.0
alpha83t-17,0.0
alpha83t-16,0.0
alpha83t-15,0.0
alpha83t-14,0.0
alpha83t-13,0.0
alpha83t-12,0.0
alpha83t-11,0.0
alpha83t-10,0.0
alpha83t-1,0.0
alpha83t,0.0
alpha82t-9,0.0
